Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,前端开发,上海·静安·静安寺,前端开发,上海亚太计算机信息系统有限公司,500-999人,国企,1万-1.6万,大专,无要求,1-3年,120000.0,192000.0
1,前端开发,上海·徐汇·湖南路,前端开发,福州一九科技有限公司,培训/辅导服务,20-99人,1万-1.4万·14薪,本科,无要求,1-3年,140000.0,196000.0
2,前端开发,上海·虹口·北外滩,前端开发工程师,上海胜蓝软件技术服务有限公司,20-99人,民营,8千-1.1万,本科,无要求,无经验,96000.0,132000.0
3,前端开发,上海·静安·大宁路,前端开发工程师,上海天补科技有限公司,100-299人,民营,1.5万-2.5万,本科,无要求,3-5年,180000.0,300000.0
4,前端开发,上海·杨浦·大桥,前端开发,外企德科,1000-9999人,合资,1.5万-1.7万,本科,无要求,3-5年,180000.0,204000.0
5,前端开发,上海·徐汇·徐家汇,高级软件开发工程师（偏前端）,长煦信息技术咨询（上海）有限公司,20-99人,外商独资,1.5万-2.2万·13薪,本科,无要求,5-10年,195000.0,286000.0
6,前端开发,上海·徐汇·徐家汇,前端开发,其他,1000-9999人,民营,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
7,前端开发,上海·浦东·周家渡,前端开发工程师,上海远资信息技术有限公司,100-299人,国企,5千-7千,大专,无要求,经验不限,60000.0,84000.0
8,前端开发,上海·长宁·新泾,前端开发工程师,上海微创软件股份有限公司,10000人以上,合资,1.9万-2.3万,本科,无要求,3-5年,228000.0,276000.0
9,前端开发,上海·浦东·曹路,前端开发,上海长庚信息技术股份有限公司,20-99人,民营,1.5万-2万,本科,无要求,3-5年,180000.0,240000.0
10,前端开发,上海·浦东·张江,Web前端开发工程师（化工、生物、制药相关专业或行业经验）,上海畅涵信息技术有限公司,20人以下,民营,1万-2万,大专,无要求,1-3年,120000.0,240000.0
11,前端开发,上海·徐汇·虹梅路,前端开发,上海微创软件股份有限公司,10000人以上,合资,1.5万-1.7万,本科,无要求,1-3年,180000.0,204000.0
12,前端开发,上海·浦东·塘桥,React前端开发,上海锐赢,20-99人,民营,1.4万-2万,本科,无要求,3-5年,168000.0,240000.0
13,前端开发,上海·静安·北站,前端开发,广州秒到信息科技有限公司,20人以下,民营,1.7万-1.9万,本科,无要求,经验不限,204000.0,228000.0
14,前端开发,上海·杨浦·新江湾城,游戏前端开发,上海微创软件股份有限公司,10000人以上,合资,1.7万-1.9万,本科,无要求,3-5年,204000.0,228000.0
15,前端开发,上海·普陀·长征,证券前端销售/接受小白/五险一金,上海中广云证券咨询有限公司,100-299人,民营,1万-2万,学历不限,无要求,经验不限,120000.0,240000.0
16,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,1-3年,210000.0,420000.0
17,前端开发,上海·浦东·张江,前端开发,上海微创软件股份有限公司,10000人以上,合资,1.2万-1.3万,本科,无要求,1-3年,144000.0,156000.0
18,前端开发,上海·杨浦·大桥,前端开发,重庆美音网络科技有限公司,500-999人,民营,8千-1.6万,大专,无要求,经验不限,96000.0,192000.0
19,前端开发,上海·浦东·陆家嘴,前端开发,郑州沃克尔人力资源管理有限责任公司,20-99人,民营,8千-1.3万,学历不限,无要求,1-3年,96000.0,156000.0
20,前端开发,上海·浦东·张江,前端开发,上海微创软件股份有限公司,10000人以上,合资,1.2万-1.3万,本科,无要求,1-3年,144000.0,156000.0
21,前端开发,上海·虹口·北外滩,系统运维工程师,上海益中亘泰(集团)股份有限公司,10000人以上,民营,8千-1.1万·14薪,本科,Java 低代码 前端,无经验,112000.0,154000.0
22,前端开发,上海·浦东·康桥,前端开发工程师（2024校招）,其他,1000-9999人,上市公司,8千-1.3万,本科,无要求,经验不限,96000.0,156000.0
23,前端开发,上海·黄浦·五里桥,Angular前端开发工程师,上海微创软件股份有限公司,10000人以上,合资,2万-2.2万,本科,无要求,5-10年,240000.0,264000.0
24,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
25,前端开发,上海·青浦·徐泾,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,1-3年,210000.0,420000.0
26,前端开发,上海·杨浦·新江湾城,前端开发工程师,中国电子科技集团公司第三十六研究所,1000-9999人,国企,2千-3千,本科,无要求,经验不限,24000.0,36000.0
28,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.2万·14薪,本科,无要求,经验不限,168000.0,308000.0
29,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
30,前端开发,上海·浦东·唐镇,前端开发,广州秒到信息科技有限公司,20人以下,民营,1.6万-1.8万,本科,后端 前端 计算机,无经验,192000.0,216000.0
31,前端开发,上海·青浦·金泽,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2万·14薪,本科,无要求,经验不限,210000.0,280000.0
32,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.2万-2.4万,本科,C Javascript Spring,经验不限,144000.0,288000.0
33,前端开发,上海·浦东·潍坊新村,前端开发,广州秒到信息科技有限公司,20人以下,民营,1.6万-1.8万,本科,无要求,经验不限,192000.0,216000.0
34,前端开发,上海·青浦·金泽,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
35,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1万-1.4万·14薪,本科,无要求,1-3年,140000.0,196000.0
36,前端开发,上海·青浦·徐泾,前端开发,湖州轩逸人力资源服务有限公司,1000-9999人,民营,9千-1.1万,大专,无要求,经验不限,108000.0,132000.0
37,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,Python C++ Java,经验不限,225000.0,450000.0
38,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
39,前端开发,上海·浦东·塘桥,前端,其他,1000-9999人,民营,1.4万-2.8万,大专,CSS Vue React,3-5年,168000.0,336000.0
40,前端开发,上海·闵行·吴泾,前端开发,浙江邦芒企业服务有限公司,1000-9999人,民营,1.7万-2万,学历不限,无要求,1-3年,204000.0,240000.0
41,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,Python C++ C Java 通信/物联网/自动化 嵌入式,经验不限,210000.0,420000.0
42,前端开发,上海·奉贤·金海,前端工程师（提供免费食宿）,普华诚信信息技术有限公司,100-299人,合资,5千-9千,本科,CSS JavaScript HTML5,经验不限,60000.0,108000.0
43,前端开发,上海·浦东·金桥,中级java工程师,其他,500-999人,合资,9千-1.3万,本科,无要求,3-5年,108000.0,156000.0
45,前端开发,上海·闵行·新虹,前端开发,其他,1000-9999人,上市公司,8千-1.3万,大专,无要求,1-3年,96000.0,156000.0
46,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,JavaScript C++ Python MySQL Spring,经验不限,210000.0,420000.0
47,前端开发,上海·闵行·浦锦,WEB前端开发-上海-自研直招,其他,500-999人,上市公司,1.1万-1.6万,本科,无要求,1-3年,132000.0,192000.0
48,前端开发,上海·浦东·潍坊新村,web前端开发工程师,上海敖凸曼网络科技有限公司,互联网,100-299人,1.4万-1.8万,本科,无要求,1-3年,168000.0,216000.0
49,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,无要求,经验不限,168000.0,336000.0
50,前端开发,上海·浦东·康桥,前端工程师,上海邦阔信息科技有限公司,20-99人,民营,5千-8千,学历不限,无要求,经验不限,60000.0,96000.0
51,前端开发,上海·松江·中山,软件开发工程师（MIS）,达丰（上海）电脑有限公司 ,10000人以上,合资,6千-8千,本科,无要求,无经验,72000.0,96000.0
53,前端开发,上海·静安·大宁路,前端开发（线上一轮面试+周末双休+不倦）,上海信息人才服务有限公司,100-299人,国企,1.4万-1.6万,本科,无要求,3-5年,168000.0,192000.0
54,前端开发,上海·静安·天目西路,前端开发,安徽佩禹企业管理咨询有限公司,餐饮服务,20人以下,2万-3万·13薪,学历不限,无要求,1-3年,260000.0,390000.0
55,前端开发,上海·金山·漕泾,内操操作工（前端）,其他,20-99人,民营,9千-1.1万,大专,无要求,1-3年,108000.0,132000.0
56,前端开发,上海·浦东·张江,前端开发,其他,1000-9999人,股份制企业,1.3万-1.4万,本科,无要求,经验不限,156000.0,168000.0
57,前端开发,上海·普陀·曹杨新村,前端开发工程师,仁卅信息科技(上海)有限公司,500-999人,外商独资,8千-9千·13薪,大专,无要求,1-3年,104000.0,117000.0
58,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1万-2万·14薪,本科,无要求,经验不限,140000.0,280000.0
59,前端开发,上海·浦东·金桥,前端开发,广州秒到信息科技有限公司,20人以下,民营,1.8万-2万,本科,无要求,无经验,216000.0,240000.0
60,前端开发,上海·宝山·杨行,中级前端开发工程师,上海碳信智成信息技术有限公司,100-299人,民营,1.5万-2.3万,大专,无要求,3-5年,180000.0,276000.0
61,前端开发,上海·浦东·北蔡,前端开发工程师,山东东弘国际船员管理有限公司,1000-9999人,民营,1.1万-1.5万,大专,无要求,3-5年,132000.0,180000.0
62,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
63,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
64,前端开发,上海·静安·大宁路,前端开发工程师,上海信息人才服务有限公司,100-299人,国企,1.4万-1.8万,学历不限,无要求,3-5年,168000.0,216000.0
65,前端开发,上海·浦东·金桥,初级前端,其他,500-999人,合资,9千-1万,本科,无要求,1-3年,108000.0,120000.0
66,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.8万-3.5万·14薪,本科,无要求,经验不限,252000.0,490000.0
67,前端开发,上海·浦东·唐镇,鸿蒙开发,其他,1000-9999人,上市公司,1.8万-3万,大专,无要求,经验不限,216000.0,360000.0
68,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,C++ C Python,经验不限,168000.0,336000.0
69,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·15薪,本科,无要求,经验不限,225000.0,450000.0
70,前端开发,上海·闵行·七宝,业务跟单-前端,安碁科技(深圳)有限公司,100-299人,外商独资,7千-1万,大专,无要求,1-3年,84000.0,120000.0
71,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,无要求,经验不限,168000.0,336000.0
74,前端开发,上海·黄浦·半淞园路,前端开发,上海帆立信息科技有限公司宁波分公司,人工智能,100-299人,9千-1.8万,本科,无要求,1-3年,108000.0,216000.0
75,前端开发,上海·青浦·金泽,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
77,前端开发,上海·浦东·唐镇,前端,北京晏英科技有限公司,咨询服务,20人以下,1.2万-2.4万,本科,无要求,3-5年,144000.0,288000.0
79,前端开发,上海·静安·彭浦,前端开发,上海吾道信息科技有限公司,10000人以上,民营,1.5万-2.5万,本科,无要求,3-5年,180000.0,300000.0
80,前端开发,上海·浦东·陆家嘴,前端开发,上海邦芒人力资源有限公司,500-999人,民营,1.2万-1.7万,本科,无要求,1-3年,144000.0,204000.0
81,前端开发,上海·闵行·虹桥,移动web前端开发实习生,上海熵变网络科技有限公司,20-99人,民营,5千-8千,本科,无要求,无经验,60000.0,96000.0
82,前端开发,上海·静安·彭浦,前端开发工程师,兰州沐先信息科技咨询有限公司,20人以下,外商独资,1万-2万,大专,无要求,3-5年,120000.0,240000.0
83,前端开发,上海·杨浦·五角场,前端开发,上海比孚信息科技有限公司,100-299人,民营,1.7万-2.3万,大专,无要求,5-10年,204000.0,276000.0
84,前端开发,上海·杨浦·新江湾城,前端开发,大连弗斯特高新人才发展管理有限公司,100-299人,民营,2万-2.4万,大专,无要求,3-5年,240000.0,288000.0
85,前端开发,上海·浦东·张江,node.js/TypeScript后端开发,北京众策科技咨询有限公司,20-99人,民营,1.4万-2万,本科,无要求,5-10年,168000.0,240000.0
86,前端开发,上海·黄浦·小东门,前端开发,其他,300-499人,民营,1.6万-2.4万,本科,无要求,5-10年,192000.0,288000.0
89,前端开发,上海·闵行·虹桥,前端开发,其他,10000人以上,民营,1.4万-2万,大专,无要求,3-5年,168000.0,240000.0
90,前端开发,上海·浦东·唐镇,原生安卓前端开发工程师,其他,500-999人,上市公司,1.3万-2万,本科,无要求,5-10年,156000.0,240000.0
91,前端开发,上海·杨浦·大桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2万,本科,无要求,3-5年,168000.0,240000.0
92,前端开发,上海·普陀·长征,前端开发,摩陀娑罗(上海)航天科技有限公司,20人以下,股份制企业,1万-2万,本科,JavaScript HTML CSS .NET 网站架构 网站后端 网站开发 Java,3-5年,120000.0,240000.0
94,前端开发,上海·静安·大宁路,前端开发工程师,上海信息人才服务有限公司,100-299人,国企,1.3万-1.6万,本科,无要求,1-3年,156000.0,192000.0
95,前端开发,上海·浦东·陆家嘴,前端开发工程师-上海,其他,1000-9999人,外商独资,1.5万-1.7万,大专,无要求,3-5年,180000.0,204000.0
96,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万·14薪,本科,无要求,1-3年,196000.0,392000.0
97,前端开发,上海·静安·彭浦,前端开发工程师,尚学博志(上海)教育科技有限公司,20-99人,民营,1万-2万,本科,无要求,1-3年,120000.0,240000.0
98,前端开发,上海·浦东·南汇新城,前端工程师,上海睿泓迪科技有限公司,互联网,20人以下,8千-9千·14薪,本科,CSS JavaScript HTML5,经验不限,112000.0,126000.0
99,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
100,前端开发,上海·浦东·康桥,前端开发工程师,其他,1000-9999人,上市公司,1.5万-2.3万,本科,无要求,3-5年,180000.0,276000.0
101,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-2万·14薪,本科,无要求,经验不限,210000.0,280000.0
102,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-3万·14薪,本科,无要求,经验不限,224000.0,420000.0
103,前端开发,上海·普陀·石泉路,h5前端开发工程师,其他,1000-9999人,股份制企业,1.3万-1.6万,大专,无要求,3-5年,156000.0,192000.0
104,前端开发,上海·静安·湖南路,前端开发,黑龙江渡一信息技术开发有限公司,20-99人,民营,1.5万-3万,本科,无要求,3-5年,180000.0,360000.0
105,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-2.6万·14薪,本科,无要求,经验不限,224000.0,364000.0
108,前端开发,上海·徐汇·湖南路,web前端工程师,广州咔乐文化有限公司,20-99人,其它,1.1万-1.3万,大专,CSS,经验不限,132000.0,156000.0
109,前端开发,上海·闵行·新虹,前端开发,陕西云鸟信息技术服务有限公司,计算机软件,20-99人,6千-8千,大专,CSS JavaScript HTML5 Vue,1-3年,72000.0,96000.0
110,前端开发,上海·浦东·花木,前端开发,北京瑞友科技股份有限公司,1000-9999人,民营,1.1万-1.8万,大专,无要求,3-5年,132000.0,216000.0
111,前端开发,上海·闵行·七宝,销售跟单-前端,安碁科技(深圳)有限公司,100-299人,外商独资,7千-1万,大专,无要求,1-3年,84000.0,120000.0
112,前端开发,上海·浦东·唐镇,前端开发,沈阳思诺科技有限公司,100-299人,民营,1万-2万,本科,无要求,3-5年,120000.0,240000.0
113,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
114,前端开发,上海·普陀·长征,Web前端工程师（上海）,长城保险经纪有限公司,1000-9999人,民营,8千-1.5万,大专,web前端,1-3年,96000.0,180000.0
115,前端开发,上海·闵行·七宝,前端开发工程师（需长期出差）,上海红鲤计算机科技服务有限公司,20-99人,股份制企业,1.5万-3万,学历不限,无要求,1-3年,180000.0,360000.0
116,前端开发,上海·闵行·虹桥,前端开发,三星财产保险(中国)有限公司,300-499人,外商独资,1.5万-2.5万·16薪,本科,无要求,3-5年,240000.0,400000.0
117,前端开发,上海·普陀·长征,Web前端工程师（上海）,长城保险经纪有限公司,1000-9999人,民营,8千-1.5万,大专,无要求,1-3年,96000.0,180000.0
119,前端开发,上海·浦东·唐镇,前端开发4年以上（金融项目&amp;Angular经验必备）,沈阳思诺科技有限公司,100-299人,民营,1.4万-1.8万,本科,无要求,3-5年,168000.0,216000.0
120,前端开发,上海·闵行·新虹,前端开发工程师,浙江庆渔堂农业科技有限公司,100-299人,民营,1.2万-2万,本科,无要求,经验不限,144000.0,240000.0
121,前端开发,上海·徐汇·虹梅路,H5 前端工程师,上海无学网络科技有限公司,100-299人,民营,1万-1.5万,本科,无要求,1-3年,120000.0,180000.0
122,前端开发,上海·嘉定·菊园新区,前端开发工程师,上海汇赋科技信息有限公司,20-99人,民营,8千-1.2万,大专,无要求,3-5年,96000.0,144000.0
123,前端开发,上海·浦东·泥城,react前端开发工程师,上海睿沃信息科技有限公司,20-99人,民营,1.8万-3万,本科,无要求,经验不限,216000.0,360000.0
124,前端开发,上海·静安·大宁路,前端开发（驻场 线上面试 好过 急）,上海信息人才服务有限公司,100-299人,国企,1.5万-1.8万,本科,无要求,3-5年,180000.0,216000.0
125,前端开发,上海·宝山·杨行,中级前端程序员,口袋云,100-299人,民营,1.5万-2万,大专,CSS Vue HTML5，，VUE，GIT,3-5年,180000.0,240000.0
126,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
127,前端开发,上海·嘉定·菊园新区,前端开发,其他,500-999人,上市公司,1.8万-2万·13薪,本科,无要求,3-5年,234000.0,260000.0
128,前端开发,上海·浦东·潍坊新村,前端开发（大专即可~短期2个月~薪资全额~熟悉信托）,北京青钱信息技术有限公司,500-999人,民营,1.5万-1.9万,大专,无要求,5-10年,180000.0,228000.0
129,前端开发,上海·浦东·张江,前端开发,北京永生鼎立信息技术有限公司,100-299人,合资,1.2万-2万,大专,无要求,5-10年,144000.0,240000.0
130,前端开发,上海·闵行·莘庄,前端开发工程师231720501,其他,10000人以上,其它,1万-2万·13薪,本科,无要求,1-3年,130000.0,260000.0
131,前端开发,上海·杨浦·江浦路,前端开发,上海锐赢,20-99人,民营,1.2万-1.5万,大专,无要求,3-5年,144000.0,180000.0
133,前端开发,上海·浦东·康桥,前端开发工程师-大数据方向,其他,1000-9999人,上市公司,1.5万-2.3万,本科,无要求,3-5年,180000.0,276000.0
134,前端开发,上海·青浦·香花桥,前端工程师,上海润术生物有限公司,20-99人,民营,9千-1.2万,大专,无要求,3-5年,108000.0,144000.0
